FCS Filename,Medians of La139Di (cPARP) for Singlets - MK,Medians of Ce140Di (Bak) for Singlets - MK,Medians of Pr141Di (p38_pT180) for Singlets - MK,Medians of Nd146Di (Bcl2_pS70) for Singlets - MK,Medians of Nd148Di (Erk_p44) for Singlets - MK,Medians of Sm149Di (APAF) for Singlets - MK,Medians of Nd150Di (Rb_pS807) for Singlets - MK,Medians of Sm152Di (Akt_pS473) for Singlets - MK,Medians of Eu153Di (BclxL) for Singlets - MK,Medians of Sm154Di (Bax) for Singlets - MK,Medians of Gd155Di (Bak_activated) for Singlets - MK,Medians of Gd156Di (Cyclin_B) for Singlets - MK,Medians of Gd157Di (Bcl2) for Singlets - MK,Medians of Gd158Di (STAT5_pY694) for Singlets - MK,Medians of Gd160Di (Mcl1) for Singlets - MK,Medians of Dy161Di (cMyc) for Singlets - MK,Medians of Dy164Di (IkBa) for Singlets - MK,Medians of Ho165Di (Bim) for Singlets - MK,Medians of Er167Di (Cyclin_A) for Singlets - MK,Medians of Er168Di (H3_pS28) for Singlets - MK,Medians of Er170Di (Bad_pS112) for Singlets - MK,Medians of Yb171Di (ZAP70_pY319) for Singlets - MK,Medians of Yb172Di (Bclw) for Singlets - MK,Medians of Yb173Di (aCasp3) for Singlets - MK,Medians of Yb174Di (p53) for Singlets - MK,Medians of Lu175Di (S6_pS235) for Singlets - MK,Medians of Lu176Di (CREB_pS133) for Singlets - MK,Medians of Pt195Di (Cisplatin) for Singlets - MK,Medians of La139Di (cPARP) for Live - MK,Medians of Ce140Di (Bak) for Live - MK,Medians of Pr141Di (p38_pT180) for Live - MK,Medians of Nd146Di (Bcl2_pS70) for Live - MK,Medians of Nd148Di (Erk_p44) for Live - MK,Medians of Sm149Di (APAF) for Live - MK,Medians of Nd150Di (Rb_pS807) for Live - MK,Medians of Sm152Di (Akt_pS473) for Live - MK,Medians of Eu153Di (BclxL) for Live - MK,Medians of Sm154Di (Bax) for Live - MK,Medians of Gd155Di (Bak_activated) for Live - MK,Medians of Gd156Di (Cyclin_B) for Live - MK,Medians of Gd157Di (Bcl2) for Live - MK,Medians of Gd158Di (STAT5_pY694) for Live - MK,Medians of Gd160Di (Mcl1) for Live - MK,Medians of Dy161Di (cMyc) for Live - MK,Medians of Dy164Di (IkBa) for Live - MK,Medians of Ho165Di (Bim) for Live - MK,Medians of Er167Di (Cyclin_A) for Live - MK,Medians of Er168Di (H3_pS28) for Live - MK,Medians of Er170Di (Bad_pS112) for Live - MK,Medians of Yb171Di (ZAP70_pY319) for Live - MK,Medians of Yb172Di (Bclw) for Live - MK,Medians of Yb173Di (aCasp3) for Live - MK,Medians of Yb174Di (p53) for Live - MK,Medians of Lu175Di (S6_pS235) for Live - MK,Medians of Lu176Di (CREB_pS133) for Live - MK,Medians of Pt195Di (Cisplatin) for Live - MK
20160719_MMS1 run 4 debarcoded_A3WT1852_0.fcs,10.80557537,34.4670639,18.9184761,6.174738407,3.983194828,10.16034222,347.5244141,1.906701922,146.9399567,2.793727636,9.269443512,52.5961647,63.32562637,19.39274025,190.9892273,25.39810753,34.25313568,72.58437347,16.15556335,2.009914875,7.56401825,0.636251926,2.773441553,2.601342916,4.853337765,264.9458008,283.9215393,1.889289975,10.63749027,34.71234131,19.0414257,6.218949318,4.048840523,10.28811741,350.5422668,1.928245306,146.8197174,2.713213444,9.233334541,52.90885544,63.48076248,19.40942574,192.9597321,25.76896477,34.40637207,73.13993835,16.51812363,2.030200243,7.630476952,0.639858842,2.731899738,2.522776604,4.794239521,271.3869019,286.2645264,1.696650267
20160719_MMS1 run 4 debarcoded_B3WT1852_1.fcs,15.5749855,40.05134201,20.61349297,5.98632288,3.740007639,8.803757668,314.2250671,2.122158527,98.21845245,2.980877161,14.15168571,54.1719017,65.82169342,20.07605171,207.9941254,28.44586372,43.32968903,71.57980347,17.28664207,2.401422977,5.893997669,0.864030421,3.227807283,3.326901913,6.240334034,490.2999573,368.5896912,1.984920621,15.09859657,40.73162651,20.59719467,6.099612474,3.811218619,9.092419624,321.3359833,2.144893289,97.32421875,2.895476699,13.92214584,54.66775513,66.57845306,20.42565823,211.9092941,29.33530331,43.94647789,72.24957275,17.77579403,2.442768335,5.954734802,0.867002457,3.172051311,3.163953304,6.126991987,517.9378357,370.4938049,1.698805094
20160719_MMS1 run 4 debarcoded_C3WT1852_6.fcs,26.18492889,29.64245415,14.81331968,4.466795206,2.631760359,6.760016203,266.2465057,1.314009845,67.18193436,2.823598504,17.86789036,50.31081963,63.58351707,16.90737057,173.2809753,17.8664217,38.72937965,60.36336136,14.6987977,1.597863019,3.950948715,0.711070687,3.428441286,4.246124506,6.417380333,224.4371872,249.5277557,2.969803095,20.52969742,34.31407166,17.90034294,5.43804121,3.786623955,8.860016823,324.4259033,1.764086962,60.21889877,2.315462351,14.49648094,56.26055908,68.32514954,18.47827721,215.2211761,26.65058899,35.22710419,69.6576767,16.06848907,2.108380556,4.542803288,0.664737403,2.782133579,2.858139753,5.078039646,353.6856384,300.4422302,1.773446321
20160719_MMS1 run 4 debarcoded_D3WTDMSO_24.fcs,10.78285885,32.3079071,19.38814926,6.408692837,4.49344635,10.10958576,388.2699585,1.929872632,136.8739166,2.856442451,9.659193993,55.34073257,54.65003586,17.59994698,191.6685486,26.77092934,28.39243317,79.00357056,16.47689056,2.20014739,6.691044807,0.696983635,2.907346487,2.487908602,5.051434517,185.1621246,307.3970947,2.049771786,10.57933426,32.18863487,19.33919334,6.376966476,4.503890991,10.11079931,388.2026672,1.923089921,135.6765594,2.777511597,9.530928135,54.64296722,54.17298317,17.41283321,191.249733,26.76699638,28.14231586,78.92676544,16.18796158,2.184871793,6.679072857,0.685091376,2.846083045,2.410730124,4.944068193,184.2079391,306.1109467,1.833190978
20160719_MMS1 run 4 debarcoded_E3BB1852_0.fcs,9.184195518,24.70908737,21.55844307,6.623486519,3.988142729,20.66219902,324.3232727,2.286851645,137.6940918,2.354755878,1.905252695,44.39020538,56.95370865,18.08028984,142.0617371,34.2052269,66.48344421,55.76215744,11.76172447,2.39379549,10.1483717,0.779640496,3.259244442,3.020454645,8.088207245,237.0708313,330.9874268,1.889964581,9.105454445,24.69851303,21.46250534,6.622991562,3.98074615,20.65483761,324.4653931,2.279034615,137.2582703,2.341409564,1.879009783,44.21021843,56.92155647,18.04606819,141.9036942,34.16474724,66.70278168,55.72720337,11.68845749,2.387390137,10.16386747,0.775223106,3.226884842,2.978298545,8.037807941,237.9436264,330.737854,1.723461986
20160719_MMS1 run 4 debarcoded_F3BB1852_24.fcs,8.719247818,21.6135807,19.99852562,6.654699326,4.265705109,22.37233543,353.5762024,1.975297213,55.28215408,2.024168491,1.920637727,52.8914299,55.07647324,17.17987442,151.964386,31.78603554,50.29992294,55.81880569,13.58769226,2.473223209,5.212347984,0.745415211,3.303600073,2.872591734,7.90462923,248.2636108,328.5298462,1.95176518,8.630832195,21.54531479,19.93184376,6.62488699,4.252391338,22.32684231,352.7670746,1.963379979,54.87392426,2.004891038,1.890304506,52.47337914,54.8967247,17.09528637,151.4220734,31.66201401,50.19551277,55.66898346,13.4017024,2.453538895,5.180964947,0.736454964,3.266405821,2.826900959,7.827189684,246.6701202,327.2713013,1.792716384
20160719_MMS1 run 4 debarcoded_G3B1852_0.fcs,12.00547028,43.05044174,23.65030861,6.857325077,4.150046349,8.226449013,327.8223267,2.312036514,123.4479256,3.569331288,14.95501232,51.08429146,39.78380013,20.77693844,177.9901199,28.03986359,50.92082405,17.26111507,14.34854221,2.361326098,10.76918411,0.79533869,3.325042129,3.057000995,5.874378681,215.5245895,318.0563965,2.001051903,11.77509403,43.34366035,23.75297356,6.914697886,4.221180677,8.320258141,330.1924133,2.341598988,123.4064598,3.489535332,14.9142127,51.37318802,39.9522419,20.92111206,179.4939575,28.45986271,51.20357704,17.40194702,14.5136385,2.39172554,10.89463139,0.802573919,3.293551326,2.97363472,5.830893755,221.1895447,320.4747314,1.792272747
20160719_MMS1 run 4 debarcoded_H3B1852_24.fcs,11.85022211,35.60519028,19.9175806,6.077490807,4.195014238,7.937133074,363.1288757,1.712666094,50.75036812,2.744310737,18.63813686,58.07973671,46.69033623,18.10831356,162.1333923,25.0907011,27.68600845,16.5826664,16.0002079,2.191948533,4.643796682,0.680854887,2.987704873,2.536338449,5.157517433,136.5929947,284.5387115,2.051487803,11.51239586,35.7322998,20.08522511,6.123100042,4.283001661,8.019337177,367.60289,1.731239498,49.97201538,2.632050753,18.38807201,58.18760872,46.6272316,18.04574108,163.9250336,25.58265305,27.33466625,16.71158886,16.21857834,2.223017573,4.61925149,0.671336055,2.910007596,2.421802402,5.019797087,138.7880936,287.1933136,1.819724083
20160719_MMS1 run 4 debarcoded_I3WTL_6.fcs,10.44262981,33.83110428,19.80238724,6.038574696,4.036672115,9.97283268,321.8484802,2.091010571,145.486908,2.804917812,9.376103401,56.52278137,62.59589386,18.49989891,194.5827484,25.46828651,33.00177765,75.34534454,16.8750267,2.16445756,6.917958736,0.723563969,3.027382612,2.691896677,5.666145325,289.8606567,325.3072815,2.110272884,10.29427719,34.09211731,19.85236168,6.07513237,4.111729145,10.10513687,324.7191162,2.116666794,145.3555603,2.741040468,9.36306572,56.42868805,62.69700623,18.54417229,196.0234833,25.7318325,33.48369598,76.01397705,17.05768967,2.186034441,7.003700256,0.733486176,2.99338913,2.624727249,5.632324219,296.9249573,328.7922974,1.812619805
20160719_MMS1 run 4 debarcoded_J3WTL_24.fcs,9.590301514,29.95703506,16.56100464,5.785866261,3.684120893,9.375353813,328.7499695,1.721191645,132.609375,2.604374409,9.005339622,47.5218277,54.17037582,17.80517769,169.4571686,15.6803751,30.17566109,74.20569611,11.78948593,1.708042502,6.152937889,0.551829398,2.552023172,2.216415882,4.140909195,90.02563477,243.8381805,1.729716778,9.417140007,29.98869514,16.60746002,5.790013313,3.72373414,9.432778358,330.0151367,1.729647636,131.807251,2.53008461,8.908489227,47.33694458,53.90261459,17.69422722,170.0633698,15.77327061,29.99612999,74.36712646,11.76380062,1.711158037,6.163974285,0.546937943,2.501413107,2.146143913,4.062592983,90.32836151,244.3160553,1.585157275
