FCS Filename,Medians of La139Di (cPARP) for Singlets - MK,Medians of Ce140Di (Bak) for Singlets - MK,Medians of Pr141Di (p38_pT180) for Singlets - MK,Medians of Nd146Di (Bcl2_pS70) for Singlets - MK,Medians of Nd148Di (Erk_p44) for Singlets - MK,Medians of Sm149Di (APAF) for Singlets - MK,Medians of Nd150Di (Rb_pS807) for Singlets - MK,Medians of Sm152Di (Akt_pS473) for Singlets - MK,Medians of Eu153Di (BclxL) for Singlets - MK,Medians of Sm154Di (Bax) for Singlets - MK,Medians of Gd155Di (Bak_activated) for Singlets - MK,Medians of Gd156Di (Cyclin_B) for Singlets - MK,Medians of Gd157Di (Bcl2) for Singlets - MK,Medians of Gd158Di (STAT5_pY694) for Singlets - MK,Medians of Gd160Di (Mcl1) for Singlets - MK,Medians of Dy161Di (cMyc) for Singlets - MK,Medians of Dy164Di (IkBa) for Singlets - MK,Medians of Ho165Di (Bim) for Singlets - MK,Medians of Er167Di (Cyclin_A) for Singlets - MK,Medians of Er168Di (H3_pS28) for Singlets - MK,Medians of Er170Di (Bad_pS112) for Singlets - MK,Medians of Yb171Di (ZAP70_pY319) for Singlets - MK,Medians of Yb172Di (Bclw) for Singlets - MK,Medians of Yb173Di (aCasp3) for Singlets - MK,Medians of Yb174Di (p53) for Singlets - MK,Medians of Lu175Di (S6_pS235) for Singlets - MK,Medians of Lu176Di (CREB_pS133) for Singlets - MK,Medians of Pt195Di (Cisplatin) for Singlets - MK,Medians of La139Di (cPARP) for Live - MK,Medians of Ce140Di (Bak) for Live - MK,Medians of Pr141Di (p38_pT180) for Live - MK,Medians of Nd146Di (Bcl2_pS70) for Live - MK,Medians of Nd148Di (Erk_p44) for Live - MK,Medians of Sm149Di (APAF) for Live - MK,Medians of Nd150Di (Rb_pS807) for Live - MK,Medians of Sm152Di (Akt_pS473) for Live - MK,Medians of Eu153Di (BclxL) for Live - MK,Medians of Sm154Di (Bax) for Live - MK,Medians of Gd155Di (Bak_activated) for Live - MK,Medians of Gd156Di (Cyclin_B) for Live - MK,Medians of Gd157Di (Bcl2) for Live - MK,Medians of Gd158Di (STAT5_pY694) for Live - MK,Medians of Gd160Di (Mcl1) for Live - MK,Medians of Dy161Di (cMyc) for Live - MK,Medians of Dy164Di (IkBa) for Live - MK,Medians of Ho165Di (Bim) for Live - MK,Medians of Er167Di (Cyclin_A) for Live - MK,Medians of Er168Di (H3_pS28) for Live - MK,Medians of Er170Di (Bad_pS112) for Live - MK,Medians of Yb171Di (ZAP70_pY319) for Live - MK,Medians of Yb172Di (Bclw) for Live - MK,Medians of Yb173Di (aCasp3) for Live - MK,Medians of Yb174Di (p53) for Live - MK,Medians of Lu175Di (S6_pS235) for Live - MK,Medians of Lu176Di (CREB_pS133) for Live - MK,Medians of Pt195Di (Cisplatin) for Live - MK
20160721_MM1S run 5 debarcode_A3WTD_24.fcs,20.37532806,25.75228119,13.26193333,3.727716684,2.137748241,5.881260633,211.4036636,1.420993328,79.85759354,2.802587628,7.569907665,17.44516182,44.98387718,15.08922386,139.0160141,11.29102802,58.72018814,55.00471687,4.285807371,1.128695786,4.765502691,0.623756528,2.020841122,2.107111096,3.760204077,87.36283493,194.3579102,1.027821362,19.72621918,26.2721138,13.61956501,3.824744225,2.24056685,6.192281485,218.0391312,1.491539717,79.16280365,2.661040664,7.288975477,17.80884743,45.36474419,15.4354353,142.6405334,11.93250275,58.6533432,55.87081528,4.365362883,1.203335702,4.947263241,0.638172776,1.964868009,1.941642463,3.622936964,89.18727112,200.0643463,0.897298843
20160721_MM1S run 5 debarcode_B3WTD_72.fcs,40.63782692,21.3032465,9.028665066,2.678384423,1.090107143,2.404464364,97.91989899,0.67523548,79.71897507,4.369162083,12.67205763,12.47576523,43.8253746,11.62117386,79.89225006,5.609104633,81.41567612,34.6596756,3.129436255,0.577120394,2.797887325,0.433959097,2.107576013,6.516254902,4.583547592,60.52476883,110.2221069,3.509839416,22.63148308,29.12553215,12.38772583,3.584779739,1.902811885,3.961821795,204.021286,1.361661434,80.7563858,2.773090363,7.494923115,16.94876671,51.93829727,15.50730133,125.9317017,11.95032787,75.3249054,42.20659256,4.116404057,1.416760087,4.393519402,0.60835588,1.862849593,2.342346191,3.565365553,87.12254333,188.4220734,1.077348471
20160721_MM1S run 5 debarcode_C3BBD_72.fcs,16.36919785,14.76862049,14.35258579,4.099076271,2.237968683,8.068950653,212.1336365,1.853498697,74.91152954,1.861318946,1.194403529,19.2725029,50.53761673,13.54399681,95.05262756,11.83806801,105.3789597,38.26019669,4.425233364,1.600195885,6.040403843,1.093791246,2.489136696,2.483465672,6.453738213,93.57337952,263.67276,1.062282562,16.30351543,14.80491924,14.36522341,4.110188246,2.246525526,8.124197483,213.1074829,1.864234269,74.75396347,1.856287897,1.181165576,19.33731365,50.65409088,13.57496786,95.27571869,11.89857674,105.6408386,38.30714989,4.437346697,1.611304939,6.064338684,1.099564314,2.483901262,2.459976912,6.436787128,93.81137466,264.4369354,0.987238288
20160721_MM1S run 5 debarcode_D3BD_72.fcs,19.27591133,27.78420734,11.66963911,2.950662255,1.625765502,2.469924569,149.2178802,1.170785069,57.90240669,3.081454992,10.11829281,14.47311544,32.62044907,15.65783787,100.4172287,6.049896717,69.8117485,17.84279346,3.784037232,1.791168749,4.822924376,0.551578254,1.837404311,2.016937137,3.887740374,79.04570389,185.7366943,0.989068061,18.45056057,28.55805302,12.08270502,3.057195544,1.732058227,2.599635005,155.9655914,1.277964413,58.58908272,2.871415496,9.673777103,14.89967585,33.30881691,16.22878933,103.5069008,6.544159174,70.00328064,18.44351006,3.955064416,1.959206939,5.103823662,0.580978274,1.798066616,1.792153537,3.774198055,81.54712296,192.2945938,0.817799687
20160721_MM1S run 5 debarcode_E3WTJ_24.fcs,17.17733574,19.18843937,13.0498147,3.439631224,1.896943748,5.027805328,165.774292,1.168365598,69.77816391,2.829791188,7.60929966,17.18310547,34.29405212,12.24786282,145.8552017,4.260911703,40.69729424,67.66701508,4.270181656,1.025307894,5.703001022,0.62746653,1.86241883,1.853269994,3.223791838,77.4800148,173.9868774,0.923814058,16.8418684,19.31582546,13.23839664,3.476509333,1.948087454,5.178482533,168.4250488,1.205550551,69.45276642,2.723819494,7.472398758,17.36340046,34.24819183,12.33125877,147.9785614,4.327983856,40.58834457,68.49011993,4.320096016,1.065270722,5.857960463,0.63679558,1.82395947,1.746756732,3.151241422,78.33841705,176.943779,0.834730059
20160721_MM1S run 5 debarcode_F3BBJ_24.fcs,13.77073193,9.307348251,14.2291069,3.065876842,1.693274021,7.819970846,166.4048691,1.210989833,61.83851433,1.429243743,0.907960802,17.06830406,28.82761955,9.321666241,119.3719559,3.998694301,64.65268707,49.70093727,3.438411474,1.175566554,5.972820044,0.674891889,1.895138741,1.820739388,3.970433474,69.12762451,190.847847,1.280766547,13.67754173,9.335328102,14.23956108,3.074154377,1.694229484,7.919684887,167.3500061,1.218830824,61.53540039,1.421021104,0.890167892,17.12414551,28.85434914,9.339594841,119.8945084,4.006385803,65.13890076,49.90148544,3.449074507,1.190423727,6.0287323,0.681617498,1.880375266,1.783098817,3.934807301,69.48725128,191.4239349,1.174366236
20160721_MM1S run 5 debarcode_G3BJ_24.fcs,16.70203972,18.33803558,13.30570126,3.179025888,1.907597184,3.814506292,175.6821136,1.058121443,48.59332275,2.739580154,9.065849304,16.77411842,18.88793182,11.17081738,102.8909073,4.022076607,35.83623123,12.44286537,4.665070057,1.041168809,6.212528229,0.463206947,1.856593132,1.736296535,3.35633111,80.48496246,172.3871918,0.99519068,16.44649315,18.47627831,13.46281719,3.217603803,1.94779253,3.898077846,178.1319427,1.085524738,48.46823692,2.671267629,8.980955601,16.95335197,18.94676018,11.29390097,104.0369682,4.074989796,35.94012451,12.61265326,4.751168966,1.07818383,6.352474689,0.474796414,1.841367245,1.665787399,3.32362926,81.27394485,174.9284439,0.896301925
20160721_MM1S run 5 debarcode_H3WTBO_6.fcs,27.74896622,33.65149307,25.45139122,6.471051216,3.805405855,8.077368736,355.7510681,2.795125961,127.9102631,3.775190592,8.278998375,42.82143784,55.47535324,19.20822716,223.7316132,27.9341526,35.59041977,71.98571014,15.25614166,3.210265875,8.549993515,1.210485578,3.424284935,3.18931222,9.811800003,265.9161072,409.6680603,2.096681118,27.56396103,34.1399498,25.66065788,6.600683689,3.898348331,8.260412216,362.7130127,2.874898911,128.4321136,3.73595643,8.285277367,43.29536438,56.0033493,19.58081627,226.2740479,28.96534348,36.28554535,72.94247437,15.64772606,3.277273178,8.746212959,1.255526423,3.443288803,3.130699158,9.972939491,275.3058472,416.1520386,1.747511387
20160721_MM1S run 5 debarcode_I3WTBO_24.fcs,257.0661926,17.78968048,8.688693523,3.323658705,0.877040625,2.351699114,3.961905479,0.570730627,174.8001633,8.70940876,24.73091698,19.10225105,44.02945709,10.93337107,61.83719063,3.405039549,51.2322998,38.88807869,7.121879578,0.423530519,2.336775541,0.857824713,4.886863708,318.7046509,19.89022732,50.40468407,9.81633091,11.9463563,100.5537033,40.62401962,38.79200363,8.033971786,3.645246506,6.606889248,336.8325806,3.0300529,178.0390778,5.335934162,15.26208496,78.12885284,51.58517456,21.276371,288.824585,11.98950481,47.43473053,86.70990753,18.90776634,4.05798769,7.547687054,1.435783029,4.615455627,10.526577,39.83359909,131.2047424,497.0012512,2.385946512
20160721_MM1S run 5 debarcode_JC8.fcs,76.97130203,27.25385571,12.51545095,3.974674582,1.688701451,3.803327918,50.19562149,1.124623835,65.07040787,5.4015975,21.10788822,25.54883766,62.03749847,14.80589437,111.0991974,7.275216818,60.04653931,49.16712761,9.334215164,0.962876499,3.20115602,0.87143892,3.808542252,34.6980648,7.993389368,118.0922394,112.4752846,8.031290531,32.31985474,38.993927,20.37998772,6.241624832,3.440356851,7.477448702,313.6421967,2.321238279,51.91661644,3.936770558,12.3774395,37.51187897,72.46826553,22.0194416,228.2061462,26.91314125,59.75537682,71.39628983,12.1404295,2.047463059,4.853547812,1.040127039,3.073133469,3.301259875,5.526200533,329.8371429,322.8700867,1.64650017
